,Context,Question,Answer
81,كذبت قبلهم قوم نوح فكذبوا عبدنا وقالوا مجنون وازدجر. فدعا ربه أني مغلوب فانتصر. ففتحنا أبواب السماء بماء منهمر. وفجرنا الأرض عيونا فالتقى الماء على أمر قد قدر. وحملناه على ذات ألواح ودسر. تجري بأعيننا جزاء لمن كان كفر. ولقد تركناها آية فهل من مدكر. فكيف كان عذابي ونذر. ولقد يسرنا القرآن للذكر فهل من مدكر.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,لقد تركناها آية فهل من مدكر. فكيف كان عذابي
82,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون. وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون.,من هم الملائكة المذكورون في القرآن؟,لقد آتينا موسى الكتاب وقفينا من بعده بالرسل وآتينا
83,يوم ينفخ في الصور ونحشر المجرمين يومئذ زرقا. يتخافتون بينهم إن لبثتم إلا عشرا. نحن أعلم بما يقولون إذ يقول أمثلهم طريقة إن لبثتم إلا يوما. ويسألونك عن الجبال فقل ينسفها ربي نسفا. فيذرها قاعا صفصفا. لا ترى فيها عوجا ولا أمتا. يومئذ يتبعون الداعي لا عوج له وخشعت الأصوات للرحمن فلا تسمع إلا همسا. يومئذ لا تنفع الشفاعة إلا من أذن له الرحمن ورضي له قولا. يعلم ما بين أيديهم وما خلفهم ولا يحيطون به علما. وعنت الوجوه للحي القيوم وقد خاب من حمل ظلما. ومن يعمل من الصالحات وهو مؤمن فلا يخاف ظلما ولا هضما. وكذلك أنزلناه قرآنا عربيا وصرفنا فيه من الوعيد لعلهم يتقون أو يحدث لهم ذكرا.,ما هي شروط الشفاعة؟,يسألونك عن الجبال فقل ينسفها ربي نسفا. فيذر
84,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين. من كان عدوا لله وملائكته ورسله وجبريل وميكال فإن الله عدو للكافرين. ولقد أنزلنا إليك آيات بينات وما يكفر بها إلا الفاسقون. أوكلما عاهدوا عهدا نبذه فريق منهم بل أكثرهم لا يؤمنون. ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم لا يعلمون.,من هم الملائكة المذكورون في القرآن؟,لقد أنزلنا إليك آيات بينات وما يكفر بها إلا الفاس
85,ويوم نحشرهم جميعا ثم نقول للذين أشركوا أين شركاؤكم الذين كنتم تزعمون. ثم لم تكن فتنتهم إلا أن قالوا والله ربنا ما كنا مشركين. انظر كيف كذبوا على أنفسهم وضل عنهم ما كانوا يفترون. ومنهم من يستمع إليك وجعلنا على قلوبهم أكنة أن يفقهوه وفي آذانهم وقرا وإن يروا كل آية لا يؤمنوا بها حتى إذا جاءوك يجادلونك يقول الذين كفروا إن هذا إلا أساطير الأولين. وهم ينهون عنه وينأون عنه وإن يهلكون إلا أنفسهم وما يشعرون.,هل أشار القرآن إلى العضو الذي يعقل به الإنسان؟,أذنوا قلوبهم أكنة أن يفقهوه وفي آذانهم و
86,يا أيها الذين آمنوا لا تسألوا عن أشياء إن تبد لكم تسؤكم وإن تسألوا عنها حين ينزل القرآن تبد لكم عفا الله عنها والله غفور حليم. قد سألها قوم من قبلكم ثم أصبحوا بها كافرين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,قرآن
87,إن وليي الله الذي نزل الكتاب وهو يتولى الصالحين. والذين تدعون من دونه لا يستطيعون نصركم ولا أنفسهم ينصرون. وإن تدعوهم إلى الهدى لا يسمعوا وتراهم ينظرون إليك وهم لا يبصرون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,الذين تدعون من دونه لا يستطيعون نصركم ولا أنفسهم
88,من يطع الرسول فقد أطاع الله ومن تولى فما أرسلناك عليهم حفيظا. ويقولون طاعة فإذا برزوا من عندك بيت طائفة منهم غير الذي تقول والله يكتب ما يبيتون فأعرض عنهم وتوكل على الله وكفى بالله وكيلا. أفلا يتدبرون القرآن ولو كان من عند غير الله لوجدوا فيه اختلافا كثيرا. وإذا جاءهم أمر من الأمن أو الخوف أذاعوا به ولو ردوه إلى الرسول وإلى أولي الأمر منهم لعلمه الذين يستنبطونه منهم ولولا فضل الله عليكم ورحمته لاتبعتم الشيطان إلا قليلا. فقاتل في سبيل الله لا تكلف إلا نفسك وحرض المؤمنين عسى الله أن يكف بأس الذين كفروا والله أشد بأسا وأشد تنكيلا.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,من يطع الرسول فقد أطاع الله ومن تولى فما أرسلناك
89,وإن من أهل الكتاب لمن يؤمن بالله وما أنزل إليكم وما أنزل إليهم خاشعين لله لا يشترون بآيات الله ثمنا قليلا أولئك لهم أجرهم عند ربهم إن الله سريع الحساب. يا أيها الذين آمنوا اصبروا وصابروا ورابطوا واتقوا الله لعلكم تفلحون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,لمن يؤمن بالله وما أنزل إليكم وما أنزل إليهم خا
90,كذبت ثمود بالنذر. فقالوا أبشرا منا واحدا نتبعه إنا إذا لفي ضلال وسعر. أألقي الذكر عليه من بيننا بل هو كذاب أشر. سيعلمون غدا من الكذاب الأشر. إنا مرسلو الناقة فتنة لهم فارتقبهم واصطبر. ونبئهم أن الماء قسمة بينهم كل شرب محتضر. فنادوا صاحبهم فتعاطى فعقر. فكيف كان عذابي ونذر. إنا أرسلنا عليهم صيحة واحدة فكانوا كهشيم المحتظر. ولقد يسرنا القرآن للذكر فهل من مدكر.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,ثمود
91,وأصحاب الشمال ما أصحاب الشمال. في سموم وحميم. وظل من يحموم. لا بارد ولا كريم. إنهم كانوا قبل ذلك مترفين. وكانوا يصرون على الحنث العظيم. وكانوا يقولون أئذا متنا وكنا ترابا وعظاما أإنا لمبعوثون. أوآباؤنا الأولون. قل إن الأولين والآخرين. لمجموعون إلى ميقات يوم معلوم. ثم إنكم أيها الضالون المكذبون. لآكلون من شجر من زقوم. فمالئون منها البطون. فشاربون عليه من الحميم. فشاربون شرب الهيم. هذا نزلهم يوم الدين.,ما هي شجرة الزقوم؟,زقوم
92,ولولا فضل الله عليك ورحمته لهمت طائفة منهم أن يضلوك وما يضلون إلا أنفسهم وما يضرونك من شيء وأنزل الله عليك الكتاب والحكمة وعلمك ما لم تكن تعلم وكان فضل الله عليك عظيما.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,لولا فضل الله عليك ورحمته لهمت طائفة منهم أن
93,إذ قال موسى لأهله إني آنست نارا سآتيكم منها بخبر أو آتيكم بشهاب قبس لعلكم تصطلون. فلما جاءها نودي أن بورك من في النار ومن حولها وسبحان الله رب العالمين. يا موسى إنه أنا الله العزيز الحكيم. وألق عصاك فلما رآها تهتز كأنها جان ولى مدبرا ولم يعقب يا موسى لا تخف إني لا يخاف لدي المرسلون. إلا من ظلم ثم بدل حسنا بعد سوء فإني غفور رحيم. وأدخل يدك في جيبك تخرج بيضاء من غير سوء في تسع آيات إلى فرعون وقومه إنهم كانوا قوما فاسقين. فلما جاءتهم آياتنا مبصرة قالوا هذا سحر مبين. وجحدوا بها واستيقنتها أنفسهم ظلما وعلوا فانظر كيف كان عاقبة المفسدين.,ما هي معجزات النبي موسى عليه السلام؟,يوسف
94,ما ننسخ من آية أو ننسها نأت بخير منها أو مثلها ألم تعلم أن الله على كل شيء قدير. ألم تعلم أن الله له ملك السماوات والأرض وما لكم من دون الله من ولي ولا نصير. أم تريدون أن تسألوا رسولكم كما سئل موسى من قبل ومن يتبدل الكفر بالإيمان فقد ضل سواء السبيل.,لماذا لم يتم حذف الآيات المنسوخة من القرآن؟,ألم تعلم أن الله على كل شيء قدير
95,ويقول الذين آمنوا لولا نزلت سورة فإذا أنزلت سورة محكمة وذكر فيها القتال رأيت الذين في قلوبهم مرض ينظرون إليك نظر المغشي عليه من الموت فأولى لهم. طاعة وقول معروف فإذا عزم الأمر فلو صدقوا الله لكان خيرا لهم. فهل عسيتم إن توليتم أن تفسدوا في الأرض وتقطعوا أرحامكم. أولئك الذين لعنهم الله فأصمهم وأعمى أبصارهم. أفلا يتدبرون القرآن أم على قلوب أقفالها.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,قول معروف فإذا عزم الأمر فلو صدقوا الله لكان خيرا
96,ولقد أرسلنا نوحا إلى قومه فلبث فيهم ألف سنة إلا خمسين عاما فأخذهم الطوفان وهم ظالمون. فأنجيناه وأصحاب السفينة وجعلناها آية للعالمين. وإبراهيم إذ قال لقومه اعبدوا الله واتقوه ذلكم خير لكم إن كنتم تعلمون. إنما تعبدون من دون الله أوثانا وتخلقون إفكا إن الذين تعبدون من دون الله لا يملكون لكم رزقا فابتغوا عند الله الرزق واعبدوه واشكروا له إليه ترجعون. وإن تكذبوا فقد كذب أمم من قبلكم وما على الرسول إلا البلاغ المبين.,كم دامت دعوة نوح لقومه؟,لقد أرسلنا نوحا إلى قومه فلبث فيهم ألف
97,الله الذي جعل لكم الليل لتسكنوا فيه والنهار مبصرا إن الله لذو فضل على الناس ولكن أكثر الناس لا يشكرون. ذلكم الله ربكم خالق كل شيء لا إله إلا هو فأنى تؤفكون. كذلك يؤفك الذين كانوا بآيات الله يجحدون. الله الذي جعل لكم الأرض قرارا والسماء بناء وصوركم فأحسن صوركم ورزقكم من الطيبات ذلكم الله ربكم فتبارك الله رب العالمين. هو الحي لا إله إلا هو فادعوه مخلصين له الدين الحمد لله رب العالمين. قل إني نهيت أن أعبد الذين تدعون من دون الله لما جاءني البينات من ربي وأمرت أن أسلم لرب العالمين.,هل ذكر القرآن أوقات نوم معيّنة؟,الذي جعل لكم الليل لتسكنوا فيه والنهار مبصرا
98,ذلك من أنباء الغيب نوحيه إليك وما كنت لديهم إذ أجمعوا أمرهم وهم يمكرون. وما أكثر الناس ولو حرصت بمؤمنين. وما تسألهم عليه من أجر إن هو إلا ذكر للعالمين. وكأين من آية في السماوات والأرض يمرون عليها وهم عنها معرضون. وما يؤمن أكثرهم بالله إلا وهم مشركون. أفأمنوا أن تأتيهم غاشية من عذاب الله أو تأتيهم الساعة بغتة وهم لا يشعرون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,ذلك من أنباء الغيب نوحيه إليك وما كنت لديهم إ
99,فإذا قرأت القرآن فاستعذ بالله من الشيطان الرجيم. إنه ليس له سلطان على الذين آمنوا وعلى ربهم يتوكلون. إنما سلطانه على الذين يتولونه والذين هم به مشركون. وإذا بدلنا آية مكان آية والله أعلم بما ينزل قالوا إنما أنت مفتر بل أكثرهم لا يعلمون. قل نزله روح القدس من ربك بالحق ليثبت الذين آمنوا وهدى وبشرى للمسلمين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,ليس له سلطان على الذين آمنوا وعلى ربهم يتوكلون
